HMDB0000005	LMFA01060002  
HMDB0000008	LMFA01050004  
HMDB0000010	LMST02010033  
HMDB0000011	LMFA01050243  
HMDB0000016	LMST02030087  
HMDB0000019	LMFA01020274  
HMDB0000032	LMST01010069  
HMDB0000039	LMFA01010004  
HMDB0000042	LMFA01010002  
HMDB0000053	LMST02020007  
HMDB0000060	LMFA01060003  
HMDB0000067	LMST01010001  
HMDB0000112	LMFA01100039  
HMDB0000145	LMST02010004  
HMDB0000151	LMST02010001  
HMDB0000153	LMST02010003  
HMDB0000172	LMFA01100047  
HMDB0000202	LMFA01170118  
HMDB0000207	LMFA01030002  
HMDB0000220	LMFA01010001  
HMDB0000222	LMFA07070004  
HMDB0000223	LMFA01170120  
HMDB0000225	LMFA01170121  
HMDB0000234	LMST02020002  
HMDB0000237	LMFA01010003  
HMDB0000243	LMFA01060077  
HMDB0000254	LMFA01170043  
HMDB0000256	LMFA11000029  
HMDB0000269	LMSP01020001  
HMDB0000305	LMPR01090000  
HMDB0000307	LMST04010114  
HMDB0000308	LMST04010201  
HMDB0000311	LMST04010117  
HMDB0000312	LMST04010085  
HMDB0000313	LMST02010046  
HMDB0000315	LMST02030172  
HMDB0000317	LMFA01050380  
HMDB0000319	LMST02030091  
HMDB0000321	LMFA01170049  
HMDB0000325	LMFA01170093  
HMDB0000328	LMST04010155  
HMDB0000331	LMST05030007  
HMDB0000332	LMST02030194  
HMDB0000335	LMST02010041  
HMDB0000336	LMFA01050382  
HMDB0000338	LMST02010027  
HMDB0000340	LMST04010126  
HMDB0000343	LMST02010032  
HMDB0000344	LMST02010052  
HMDB0000345	LMFA01170088  
HMDB0000347	LMST02010006  
HMDB0000348	LMST04010046  
HMDB0000350	LMFA01170092  
HMDB0000352	LMST02020064  
HMDB0000354	LMFA01050391  
HMDB0000357	LMFA01050005  
HMDB0000360	LMFA01050385  
HMDB0000361	LMST04010034  
HMDB0000363	LMST02030089  
HMDB0000364	LMST04010065  
HMDB0000367	LMST04010121  
HMDB0000374	LMST02030161  
HMDB0000376	LMST04010094  
HMDB0000377	LMST04010123  
HMDB0000380	LMST02010051  
HMDB0000387	LMFA01050037  
HMDB0000390	LMST04010089  
HMDB0000391	LMST04010184  
HMDB0000392	LMFA01030017  
HMDB0000393	LMFA01170087  
HMDB0000394	LMFA01170094  
HMDB0000395	LMST04010090  
HMDB0000396	LMFA01050388  
HMDB0000398	LMFA01170096  
HMDB0000399	LMST04010120  
HMDB0000400	LMST04010176  
HMDB0000402	LMFA01170083  
HMDB0000404	LMST04010059  
HMDB0000405	LMST02010035  
HMDB0000406	LMST02010047  
HMDB0000409	LMFA01050376  
HMDB0000411	LMST04010041  
HMDB0000413	LMFA01170089  
HMDB0000414	LMST04010058  
HMDB0000415	LMST04010067  
HMDB0000416	LMST05020021  
HMDB0000418	LMST02030193  
HMDB0000419	LMST04010086  
HMDB0000421	LMFA01050384  
HMDB0000422	LMFA01170084  
HMDB0000424	LMFA01170076  
HMDB0000427	LMST04010098  
HMDB0000429	LMST02010029  
HMDB0000431	LMST02010045  
HMDB0000432	LMST04010096  
HMDB0000437	LMST04010116  
HMDB0000438	LMST04010042  
HMDB0000001	NA
HMDB0000001	NA
